country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
ESP,Spain,CAMPO DE GIBRALTAR GRUPO 20,WRI1006292,780.6600000000001,36.1834,-5.3933,Gas,,,,2004.0,PUENTE MAYORGA GENERACION  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,1410.7548847928663
ESP,Spain,CAMPORRIONDI,WRI1006297,15.2,43.3514,-5.1292,Hydro,,,,,NAVARRO GENERACION  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,41.71009179561374
ESP,Spain,CANALEJAS,WRI1006300,18.7,39.8500,-0.7500,Wind,,,,2005.0,BIOVENT ENERGIA  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,86.2816866674709
ESP,Spain,CANDELARIA 9  VAPOR 5,WRI1006302,153.94,28.3548,-16.3727,Oil,,,,1979.0,UNION ELECTRICA DE CANARIAS GENERACION  S.A.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,465.81101174691787
ESP,Spain,CANELLES 1,WRI1006306,107.39999999999999,41.9763,0.6116,Hydro,,,,1959.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,,,,,,294.7147275558497
ESP,Spain,CARTAGENA GRUPO 1,WRI1006308,1248.82,37.5732,-0.9392,Gas,,,,2006.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,2256.7813327530903
ESP,Spain,CAS TRESORER TG3  CC2,WRI1006309,429.0,39.5672,2.6895,Gas,,,,2009.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,775.2591980838516
ESP,Spain,CASABLANCA,WRI1006316,49.9,39.2939,-5.2168,Solar,,,,2013.0,SERREZUELA SOLAR II  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,335.6347583373384
ESP,Spain,CASTEJON  GRUPO 2,WRI1006317,797.41,42.1718,-1.6773,Gas,,,,2007.0,HIDROELECTRICA DEL CANTABRICO  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,1441.024329007096
ESP,Spain,CASTELLON,WRI1006318,782.0,39.9592,-0.0010,Gas,,,,2002.0,IBERDROLA GENERACION  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,1413.1764403300047
ESP,Spain,CASTREJON GRUPO 1,WRI1006319,80.73,39.8880,-4.4539,Hydro,,,,1968.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,221.52998096446697
ESP,Spain,CASTRELO GRUPO 1,WRI1006320,135.59,42.2917,-8.1136,Hydro,,,,1969.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,,,,,,372.070483326794
ESP,Spain,CASTRO II,WRI1006321,195.29,41.5756,-6.1891,Hydro,,,,1977.0,IBERDROLA GENERACION  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,,,,,,535.89235702404
ESP,Spain,CCC BAHIA DE ALGECIRAS,WRI1006322,820536,36.1829,-5.3905,Gas,,,,2009.0,VIESGO GENERACION  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,1482.8160404637094
ESP,Spain,CCC SAGUNTO  GRUPO 2,WRI1006323,1232.19,39.6426,-0.2344,Gas,,,,2007.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,2226.7287442586044
ESP,Spain,CEDILLO 3,WRI1006324,495.18,39.6643,-7.5332,Hydro,,,,1976.0,IBERDROLA GENERACION  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,,,,,,1358.81600364158
ESP,Spain,CENTRAL HIDRAULICA DOMENO,WRI1006332,20.4,42.6758,-1.2395,Hydro,,,,2001.0,IBERENOVA PROMOCIONES  S.A.  SOCIEDAD UNIPERSONAL,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,55.97933372569213
ESP,Spain,CENTRAL SOLAR TERMOELECTRICA ENERSTAR VILLENA,WRI1006337,49.9,38.7291,-0.9219,Solar,,,,2013.0,ENERSTAR VILLENA  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,335.6347583373384
ESP,Spain,CENTRAL TERMOSOLAR LA AFRICANA,WRI1006338,49.9,37.7574,-5.0620,Solar,,,,2012.0,AFRICANA ENERGIA S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,335.6347583373384
ESP,Spain,CERNADILLA,WRI1006339,33.32,42.0208,-6.4170,Hydro,,,,1969.0,IBERDROLA GENERACION  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,91.43291175196381
ESP,Spain,CEUTA  GRUPO 13,WRI1006343,48.7,35.8900,-5.3500,Oil,,,,2011.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,147.3625845918858
ESP,Spain,CEUTA 9  G-9,WRI1006342,11.5,35.8900,-5.3500,Oil,,,,2001.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,34.7981462588642
ESP,Spain,CG NUFRI-1,WRI1006345,13.56,41.6333,0.9000,Oil,,,,2011.0,NUFRI SAT 1596,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,41.03155332784335
ESP,Spain,CICLO COMBINADO DE CASTELNOU,WRI1006355,790.68,41.2167,-0.2928,Gas,,,,2006.0,CASTELNOU ENERGIA  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,1428.8623373914681
ESP,Spain,CIJARA M. DCHA. 1,WRI1006357,50.4,39.3711,-5.0166,Hydro,,,,1980.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,,,,,,138.3018833222982
ESP,Spain,CIJARA M. IZDA. 3,WRI1023631,51.7,39.3711,-5.0166,Hydro,,,,1969.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,,,,,,141.86919380481783
ESP,Spain,CN ALMARAZ 1,WRI1006358,2016.9,39.8070,-5.6986,Nuclear,,,,1984.0,IBERDROLA GENERACION  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,16232.792209616213
ESP,Spain,CN COFRENTES,WRI1006359,1063.94,39.2134,-1.0509,Nuclear,,,,1985.0,IBERDROLA GENERACION NUCLEAR  S.A.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,8563.001112350179
ESP,Spain,COFRENTES 1,WRI1006361,120.53999999999999,39.2167,-1.0500,Hydro,,,,1951.0,IBERDROLA GENERACION  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,330.7720042791632
ESP,Spain,COGENERACION MOTRIL,WRI1006377,48.8,36.7334,-3.5413,Gas,,,,2001.0,COGENERACION MOTRIL  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,88.18799269578545
ESP,Spain,COGENERACION NAVIA,WRI1006378,24.0,43.5354,-6.7193,Gas,,,,,INDUSTRIAS LACTEAS ASTURIANAS  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,43.37114394874695
ESP,Spain,COGENERACION REPSOL,WRI1006381,40.83,38.6871,-4.1073,Oil,,,,1994.0,REPSOL PETROLEO  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,123.5485488477761
ESP,Spain,COLORTEX,WRI1006390,12.68,38.8167,-0.6167,Gas,,,,,COLORTEX  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,22.914421052921302
